Year/Month,Games
2013 January,121332
2013 February,123961
2013 March,158635
2013 April,157871
2013 May,179550
2013 June,224679
2013 July,293459
2013 August,325525
2013 September,325098
2013 October,411039
2013 November,487012
2013 December,578262
2014 January,697600
2014 February,692394
2014 March,795173
2014 April,810463
2014 May,905374
2014 June,961868
2014 July,1048440
2014 August,1013294
2014 September,1000056
2014 October,1111302
2014 November,1209291
2014 December,1350176
2015 January,1497237
2015 February,1495553
2015 March,1742733
2015 April,1785418
2015 May,2137557
2015 June,2324106
2015 July,2455141
2015 August,2621861
2015 September,2844677
2015 October,3400418
2015 November,3595776
2015 December,4161162
2016 January,4770357
2016 February,5015361
2016 March,5801234
2016 April,5922667
2016 May,6225957
2016 June,6316419
2016 July,6275933
2016 August,6483257
2016 September,6813113
2016 October,7599868
2016 November,8021509
2016 December,9433412
2017 January,10680708
2017 February,10194939
2017 March,11346745
2017 April,11348506
2017 May,11348919
2017 June,11512600
2017 July,12080314
2017 August,12080761
2017 September,12564109
2017 October,13703878
2017 November,14306375
2017 December,16232215
2018 January,17945784
2018 February,17383410
2018 March,20036271
2018 April,19881929
2018 May,21442600
2018 June,20273737
2018 July,21070917
2018 August,22635642
2018 September,22971939
2018 October,24784600
2018 November,26136657
2018 December,31179146
2019 January,33886899
2019 February,31023718
2019 March,34869171
2019 April,33565536
2019 May,35236588
2019 June,33935786
2019 July,35728182
2019 August,36745427
2019 September,36996010
2019 October,40440254
2019 November,40357832
2019 December,44055757
2020 January,46800709
2020 February,44004185
2020 March,55544817
2020 April,73224608
2020 May,75628855
2020 June,70374749
2020 July,70592022
2020 August,71405167
2020 September,68027862
2020 October,70572373
2020 November,78268317
2020 December,89422803
2021 January,95853038
2021 February,89892001
2021 March,100023791
2021 April,99184138
2021 May,101011629
2021 June,92190803
2021 July,92193352
2021 August,93679328
2021 September,88133339
2021 October,88092721
2021 November,87113345
2021 December,95600810
2022 January,102110423
2022 February,86339501
2022 March,91140030
2022 April,87200457
2022 May,89300578
2022 June,87649571
2022 July,92055571
2022 August,92670440
2022 September,89174810
2022 October,92629656
2022 November,89319297
2022 December,93501009
2023 January,103178407
2023 February,98471537
2023 March,108201825
2023 April,101706224
2023 May,104193153
2023 June,96641906
2023 July,95300285
2023 August,96118124
2023 September,93218639
